                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.86002,                0.49144,                 1.0258,                0.96448,                0.95722,                0.97337,                0.72764,                0.98408,                0.42942,                 1.0911,             0.00028975,             0.00028975,             0.00028975
                    115,                 0.8566,                0.50355,                 1.0268,                0.96449,                 0.9676,                0.97258,                0.72825,                0.97642,                0.41988,                 1.0907,             0.00028242,             0.00028242,             0.00028242
                    116,                 0.8558,                0.50025,                 1.0213,                0.96449,                0.95981,                0.97211,                0.72332,                0.98659,                0.42799,                 1.0951,             0.00027508,             0.00027508,             0.00027508
                    117,                0.86518,                 0.5055,                 1.0404,                0.95995,                0.96423,                0.97324,                0.71858,                0.99392,                0.42869,                 1.0969,             0.00026775,             0.00026775,             0.00026775
                    118,                0.85015,                0.48945,                 1.0291,                 0.9653,                 0.9702,                0.97595,                0.72566,                0.99202,                0.42547,                 1.0973,             0.00026042,             0.00026042,             0.00026042
                    119,                0.85912,                0.49108,                 1.0243,                0.96262,                0.97087,                0.97486,                0.72329,                0.99299,                0.42191,                  1.102,             0.00025309,             0.00025309,             0.00025309
                    120,                0.84579,                 0.4883,                 1.0202,                0.96713,                0.96635,                0.97505,                0.72742,                0.99746,                0.41666,                  1.097,             0.00024575,             0.00024575,             0.00024575
                    121,                0.84651,                0.49653,                 1.0231,                0.97003,                0.96086,                 0.9796,                0.72587,                0.99567,                0.41983,                 1.0997,             0.00023842,             0.00023842,             0.00023842
                    122,                0.85309,                0.48813,                 1.0212,                0.96857,                0.96086,                0.97489,                0.72424,                0.99394,                0.41965,                 1.0947,             0.00023109,             0.00023109,             0.00023109
                    123,                0.83004,                0.48433,                 1.0166,                0.96455,                0.96081,                0.97382,                0.72865,                0.98977,                0.42385,                 1.0947,             0.00022376,             0.00022376,             0.00022376
                    124,                0.83217,                0.47504,                 1.0133,                0.96302,                0.96458,                0.97594,                 0.7299,                0.98823,                0.42526,                 1.0978,             0.00021642,             0.00021642,             0.00021642
                    125,                0.82853,                0.48139,                 1.0133,                0.96636,                0.96183,                0.97362,                0.72901,                0.99074,                0.42177,                 1.1005,             0.00020909,             0.00020909,             0.00020909
                    126,                0.83155,                0.47822,                 1.0116,                 0.9611,                0.97159,                0.97666,                0.72454,                0.99538,                0.41691,                 1.0986,             0.00020176,             0.00020176,             0.00020176
                    127,                0.82137,                0.48983,                 1.0146,                0.96146,                0.97591,                0.97632,                0.72311,                0.99661,                0.41978,                 1.1007,             0.00019442,             0.00019442,             0.00019442
                    128,                0.83105,                0.48155,                 1.0153,                 0.9576,                0.97488,                0.97519,                0.72389,                0.99886,                0.42242,                 1.1049,             0.00018709,             0.00018709,             0.00018709
                    129,                0.82305,                0.47502,                 1.0095,                0.96387,                0.96852,                0.97728,                0.72326,                0.99936,                0.42467,                 1.1018,             0.00017976,             0.00017976,             0.00017976
                    130,                0.80769,                0.47502,                  1.005,                0.96696,                0.96288,                0.97633,                0.72683,                 1.0003,                  0.427,                 1.1031,             0.00017243,             0.00017243,             0.00017243
                    131,                0.81151,                0.46803,                 1.0031,                0.97293,                0.95933,                0.97714,                0.73025,                0.99545,                0.42333,                 1.1021,             0.00016509,             0.00016509,             0.00016509
                    132,                0.81892,                0.47484,                 1.0048,                0.96657,                0.96424,                0.97569,                0.72839,                0.99413,                 0.4214,                 1.0973,             0.00015776,             0.00015776,             0.00015776
                    133,                0.81897,                 0.4751,                 1.0078,                0.97108,                 0.9693,                0.97812,                0.73034,                0.99576,                0.42219,                  1.099,             0.00015043,             0.00015043,             0.00015043
                    134,                0.80721,                0.46522,                 1.0037,                0.96902,                0.97024,                 0.9765,                0.72611,                0.99583,                0.42218,                 1.1011,              0.0001431,              0.0001431,              0.0001431
                    135,                0.80872,                0.46755,                 1.0048,                 0.9671,                0.96729,                0.97548,                0.72724,                0.99982,                0.41909,                 1.1033,             0.00013576,             0.00013576,             0.00013576
                    136,                0.80091,                0.47171,                 1.0107,                0.96876,                0.97013,                0.97674,                0.72924,                0.99208,                0.41372,                 1.1015,             0.00012843,             0.00012843,             0.00012843
